LAD24CD,LAD24NM,Overall,Rank,Income,Employment,Education,Health,Crime,Barriers,Living,Region
E06000001,Hartlepool,37.58,5,0.357,0.247,30.453,1.199,0.638,15.27,17.012,North East
E06000002,Middlesbrough,40.037,2,0.375,0.233,38.536,1.023,0.952,20.273,21.818,North East
E06000003,Redcar and Cleveland,30.336,29,0.297,0.209,25.343,0.745,0.437,16.587,18.178,North East
E06000004,Stockton-on-Tees,25.83,53,0.256,0.172,22.91,0.723,0.208,15.154,13.087,North East
E06000005,Darlington,25.713,55,0.248,0.166,24.246,0.575,0.283,14.779,21.474,North East
E06000006,Halton,31.117,24,0.294,0.199,29.478,0.88,0.382,18.191,16.19,North West
E06000007,Warrington,16.835,115,0.182,0.122,15.677,0.034,-0.111,14.842,16.742,North West
E06000008,Blackburn with Darwen,36.899,8,0.372,0.201,36.227,0.787,0.425,23.985,33.581,North West
E06000009,Blackpool,43.467,1,0.377,0.26,38.323,1.525,0.987,15.611,37.754,North West
E06000010,"Kingston upon Hull, City of",37.206,6,0.363,0.208,39.863,0.784,0.841,20.114,23.629,Yorkshire and The Humber
E06000011,East Riding of Yorkshire,15.755,121,0.163,0.109,18.435,-0.358,-0.467,21.075,18.491,Yorkshire and The Humber
E06000012,North East Lincolnshire,30.213,31,0.301,0.192,33.893,0.389,0.462,17.248,22.213,Yorkshire and The Humber
E06000013,North Lincolnshire,23.473,73,0.234,0.148,27.639,0.218,0.144,23.185,15.446,Yorkshire and The Humber
E06000014,York,11.814,142,0.131,0.079,14.123,-0.277,-0.478,15.254,15.78,Yorkshire and The Humber
E06000015,Derby,28.155,41,0.296,0.17,31.405,0.488,0.331,15.817,22.988,East Midlands
E06000016,Leicester,34.449,12,0.345,0.158,38.592,0.366,0.574,33.722,32.41,East Midlands
E06000017,Rutland,9.851,150,0.105,0.067,6.437,-0.955,-0.899,28.122,19.98,East Midlands
E06000018,Nottingham,33.747,15,0.334,0.181,32.605,0.836,0.572,20.538,29.374,East Midlands
E06000019,"Herefordshire, County of",18.762,99,0.179,0.11,19.578,-0.274,-0.554,30.02,28.319,West Midlands
E06000020,Telford and Wrekin,24.423,62,0.275,0.158,25.892,0.436,0.075,22.195,8.54,West Midlands
E06000021,Stoke-on-Trent,33.614,16,0.331,0.195,36.718,0.948,0.458,16.893,23.885,West Midlands
E06000022,Bath and North East Somerset,12.281,140,0.137,0.086,12.831,-0.619,-0.432,18.737,19.797,South West
E06000023,"Bristol, City of",22.496,80,0.218,0.124,24.567,0.216,0.384,15.393,26.386,South West
E06000024,North Somerset,15.456,123,0.168,0.115,17.356,-0.405,-0.282,19.923,14.633,South West
E06000025,South Gloucestershire,11.614,143,0.142,0.086,15.673,-0.566,-0.426,17.909,13.009,South West
E06000026,Plymouth,24.087,65,0.244,0.16,26.923,0.431,0.001,17.968,18.432,South West
E06000027,Torbay,26.917,49,0.26,0.18,28.79,0.623,-0.001,21.751,22.167,South West
E06000030,Swindon,17.554,110,0.202,0.117,24.736,-0.255,-0.187,19.466,12.86,South West
E06000031,Peterborough,27.799,43,0.31,0.157,35.069,0.227,0.323,26.948,13.936,East of England
E06000032,Luton,29.548,37,0.365,0.15,32.088,0.218,0.159,31.306,22.183,East of England
E06000033,Southend-on-Sea,24.027,66,0.252,0.156,22.845,0.193,0.341,16.134,26.248,East of England
E06000034,Thurrock,21.032,87,0.237,0.124,24.841,-0.107,0.241,26.66,15.328,East of England
E06000035,Medway,24.354,63,0.238,0.145,26.209,0.102,0.514,27.147,17.406,South East
E06000036,Bracknell Forest,10.084,149,0.133,0.073,14.172,-1.15,-0.552,23.868,8.052,South East
E06000037,West Berkshire,11.049,146,0.133,0.076,13.428,-0.808,-0.588,22.689,15.882,South East
E06000038,Reading,18.558,101,0.211,0.102,23.146,-0.129,0.117,23.533,18.096,South East
E06000039,Slough,22.967,78,0.289,0.119,24.69,-0.436,0.384,34.025,15.984,South East
E06000040,Windsor and Maidenhead,8.881,152,0.113,0.065,9.681,-1.566,-0.496,20.448,17.787,South East
E06000041,Wokingham,6.102,153,0.093,0.055,6.395,-1.36,-0.84,19.879,8.118,South East
E06000042,Milton Keynes,18.503,102,0.21,0.111,19.843,-0.119,-0.031,30.482,7.165,South East
E06000043,Brighton and Hove,20.266,92,0.213,0.128,18.53,0.043,0.045,20.471,24.67,South East
E06000044,Portsmouth,26.378,51,0.259,0.14,29.299,0.298,0.546,21.27,28.962,South East
E06000045,Southampton,25.611,56,0.259,0.139,28.055,0.552,0.73,15.879,20.485,South East
E06000046,Isle of Wight,24.599,61,0.234,0.161,24.434,0.508,-0.045,27.816,19.094,South East
E06000047,County Durham,28.808,40,0.266,0.185,25.76,0.836,0.344,20.323,17.638,North East
E06000049,Cheshire East,14.169,130,0.149,0.1,14.716,-0.328,-0.226,17.175,18.094,North West
E06000050,Cheshire West and Chester,17.736,106,0.183,0.122,18.631,-0.033,-0.177,18.903,16.369,North West
E06000051,Shropshire,17.604,109,0.168,0.105,18.115,-0.249,-0.546,29.613,24.898,West Midlands
E06000052,Cornwall,22.321,81,0.22,0.136,21.43,-0.068,-0.557,30.993,31.573,South West
E06000053,Isles of Scilly,12.65,139,0.06,0.031,5.069,-3.1,-1.481,29.579,68.618,South West
E06000054,Wiltshire,13.608,132,0.148,0.093,15.679,-0.484,-0.601,23.367,18.008,South West
E06000055,Bedford,19.747,94,0.216,0.119,21.379,0.041,-0.11,25.128,17.997,East of England
E06000056,Central Bedfordshire,13.102,134,0.153,0.087,17.812,-0.486,-0.343,23.458,11.698,East of England
E06000057,Northumberland,21.963,83,0.207,0.146,21.25,0.278,-0.096,20.739,18.361,North East
E06000058,"Bournemouth, Christchurch and Poole",17.513,112,0.198,0.123,17.686,-0.068,0.038,18.819,16.053,South West
E06000059,Dorset,16.268,119,0.164,0.109,18.354,-0.4,-0.539,28.471,18.214,South West
E06000060,Buckinghamshire,11.921,141,0.14,0.08,13.087,-1.05,-0.52,26.996,13.539,South East
E06000061,North Northamptonshire,18.472,103,0.204,0.119,26.372,0.001,-0.03,17.681,14.01,East Midlands
E06000062,West Northamptonshire,16.654,117,0.181,0.102,20.33,-0.314,-0.083,23.166,16.415,East Midlands
